Rewards: 743, total: 156188
Rewards: 1117, total: 157305
Rewards: 442, total: 157747
Rewards: 291, total: 158038
Rewards: 831, total: 158869
Rewards: 411, total: 159280
Rewards: 670, total: 159950
Rewards: 1075, total: 161025
Rewards: 366, total: 161391
Rewards: 1271, total: 162662
Rewards: 1301, total: 163963
Rewards: 861, total: 164824
Rewards: 580, total: 165404
Rewards: 734, total: 166138
Rewards: 748, total: 166886
Rewards: 674, total: 167560
Rewards: 184, total: 167744
Rewards: 717, total: 168461
Rewards: 496, total: 168957
Rewards: 794, total: 169751
Rewards: 24, total: 169775
Rewards: 863, total: 170638
Rewards: 836, total: 171474
Rewards: 888, total: 172362
Rewards: 610, total: 172972
Rewards: 73, total: 173045
Rewards: 375, total: 173420
Rewards: -229, total: 173191
Rewards: 1103, total: 174294
Rewards: 570, total: 174864
Rewards: 1039, total: 175903
Rewards: 75, total: 175978
Rewards: 1243, total: 177221
Rewards: 624, total: 177845
Rewards: 997, total: 178842
Rewards: 216, total: 179058
Rewards: 937, total: 179995
Rewards: 122, total: 180117
Rewards: 1203, total: 181320
Rewards: 587, total: 181907
Rewards: 1055, total: 182962
Rewards: 259, total: 183221
Rewards: 83, total: 183304
Rewards: 273, total: 183577
Rewards: 398, total: 183975
Rewards: 634, total: 184609
Rewards: 127, total: 184736
Rewards: 1121, total: 185857
Rewards: 505, total: 186362
Rewards: 841, total: 187203
Rewards: 589, total: 187792
Rewards: 467, total: 188259
Rewards: 442, total: 188701
Rewards: 712, total: 189413
Rewards: 928, total: 190341
Rewards: 278, total: 190619
Rewards: 603, total: 191222
Rewards: 366, total: 191588
Rewards: 1000, total: 192588
Rewards: 767, total: 193355
Rewards: 759, total: 194114
Rewards: 704, total: 194818
Rewards: 547, total: 195365
Rewards: 539, total: 195904
Rewards: 132, total: 196036
Rewards: 941, total: 196977
Rewards: 724, total: 197701
Rewards: 99, total: 197800
Rewards: 996, total: 198796
Rewards: 283, total: 199079
Rewards: -95, total: 198984
Rewards: 708, total: 199692
Rewards: 267, total: 199959
Rewards: 32, total: 199991
Rewards: 863, total: 200854
Rewards: 1177, total: 202031
Rewards: 588, total: 202619
Rewards: 428, total: 203047
Rewards: 1356, total: 204403
Rewards: 1188, total: 205591
Rewards: 37, total: 205628
Rewards: 634, total: 206262
Rewards: 907, total: 207169
Rewards: -10, total: 207159
Rewards: 179, total: 207338
Rewards: 692, total: 208030
Rewards: 896, total: 208926
Rewards: 440, total: 209366
Rewards: 117, total: 209483
Rewards: 880, total: 210363
Rewards: 85, total: 210448
Rewards: 963, total: 211411
Rewards: 37, total: 211448
Rewards: 297, total: 211745
Rewards: 360, total: 212105
Rewards: 84, total: 212189
Rewards: 786, total: 212975
Rewards: 987, total: 213962
Rewards: 163, total: 214125
Rewards: 535, total: 214660
Rewards: 1148, total: 215808
Rewards: 1739, total: 217547
Rewards: 1048, total: 218595
Rewards: 366, total: 218961
Rewards: 476, total: 219437
Rewards: 349, total: 219786
Rewards: 706, total: 220492
Rewards: 671, total: 221163
Rewards: 615, total: 221778
Rewards: 208, total: 221986
Rewards: 798, total: 222784
Rewards: 1078, total: 223862
Rewards: 633, total: 224495
Rewards: 384, total: 224879
Rewards: 401, total: 225280
Rewards: 289, total: 225569
Rewards: 547, total: 226116
Rewards: 902, total: 227018
Rewards: 260, total: 227278
Rewards: 799, total: 228077
Rewards: 1057, total: 229134
Rewards: 1598, total: 230732
Rewards: 30, total: 230762
Rewards: 466, total: 231228
Rewards: 1007, total: 232235
Rewards: 1089, total: 233324
Rewards: 487, total: 233811
Rewards: 771, total: 234582
Rewards: 528, total: 235110
Rewards: 737, total: 235847
Rewards: 756, total: 236603
Rewards: 370, total: 236973
Rewards: 304, total: 237277
Rewards: 1074, total: 238351
Rewards: 384, total: 238735
Rewards: 1007, total: 239742
Rewards: 784, total: 240526
Rewards: 124, total: 240650
Rewards: 711, total: 241361
Rewards: 891, total: 242252
Rewards: 322, total: 242574
Rewards: 1279, total: 243853
Rewards: 728, total: 244581
Rewards: 1083, total: 245664
Rewards: 1208, total: 246872
Rewards: 778, total: 247650
Rewards: 580, total: 248230
Rewards: 551, total: 248781
Rewards: 1152, total: 249933
Rewards: 1172, total: 251105
Rewards: 635, total: 251740
Rewards: 733, total: 252473
Rewards: 409, total: 252882
Rewards: 596, total: 253478
Rewards: 984, total: 254462
Rewards: 1395, total: 255857
